Book-Title,Book-Author,Year-Of-Publication,Publisher
Mrs. Harris,Diana Trilling,1982,Viking Press
Maggie And Her Colonel (Great Escapes) (Stolen Moments),Merline Lovelace,1994,Harlequin
"Managing Your Anxiety: Regaining Control When You Feel Stressed, Helpless, and Alone : Self-Care Program Included",Christopher J. McCullough,1994,Berkley Publishing Group
WITHOUT MERCY: OBSESSION AND MURDER UNDER THE INFLUENCE : WITHOUT MERCY: OBSESSION AND MURDER UNDER THE INFLUENCE,Gary Provost,1990,Pocket
"Menopause Without Medicine: Feel Healthy, Look Younger, Live Longer",Linda Ojeda,1995,Pub Group West
The Coed Call Girl Murder,Fannie Weinstein,1997,St. Martin's True Crime Classics
Tara Kane,George Markstein,1979,Dell Publishing
All we hold dear,Kathryn Lynn Davis,1995,Pocket Books
A Brother's Blood: A Novel,Michael C. White,1996,Harpercollins
Split Image,Judy Mercer,1999,Pocket
Firefighters: Their Lives in Their Own Words,Dennis Smith,1989,Dell Publishing Company
Blood Alone,Elaine Bergstrom,1994,Ace Books
Blood Rites,Elaine Bergstrom,1994,Ace Books
Shattered Glass,Elaine Bergstrom,1994,Ace Books
Unspeakable Acts,Jan Hollingsworth,1986,McGraw-Hill
"Fakes, Frauds, and Flimflammery: Even More of the World's Most Outrageous Scams",Andreas Schroeder,1999,McClelland &amp; Stewart
Somebody Come and Play,Clare McNally,1994,Tor Books
"Outcast (Silhouette Intimate Moments, No 7614)",Wayne Barton,1994,Silhouette
Below the Line,Jaron Summers,1987,Leisure Books
The Anxiety Disease,"David V., M.D. Sheehan",1986,Bantam Books
They Called Me the Catch Me Killer,Bob Erler,1980,Tyndale House Publishers
Which Mother Is Mine?,Joan Oppenheimer,1980,Bantam Books (Mm)
Heart Of The Eagle (Western Lovers #7) (Western Lovers : Rechless Renegades),Lindsay McKenna,1995,Harlequin
The victim is always the same,I. S Cooper,1973,Harper &amp; Row
At Large: The Life and Crimes of Randolph Franklin Dial (True Crime Library),Charles W. Sasser,1998,St. Martin's Press
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,2001,W.W. Norton &amp; Company
The Tree People (Tree People),Naomi M. Stokes,1995,St Martins Pr
The SIXTH COMMANDMENT CST,Lawrence Sanders,1992,Simon &amp; Schuster Audio
"Lisa, Bright and Dark",John Neufeld,1999,Sagebrush Bound
Silhouette Spring Fancy (3 Stories in 1 Vol.),Annette Broadrick,1993,Silhouette
Last Real Cowboy (Silhouette Intimate Moments),Robert L. Barker,1995,Silhouette
Autumnfire,Emily Carmichael,1987,Warner Books
Southern Nights (Florida),Janet Dailey,0,e-reads.com
Winds Across Texas,Susan Tanner,1994,Leisure Books
Desperado Passion,Patricia Pellicane,1991,Kensington Pub Corp (Mm)
Cheyenne Dreams,Peggy Hanchar,1993,Ivy Books
Lovespell      Hqn,Rosalind Carson,1984,Harlequin
Women Who Love Men Who Kill,Sheila Isenberg,2000,Backinprint.com
"Beloved Wife (Harlequin Historical, No 154)",Lynda Trent,1992,Harlequin
"Mcgillus V. Wright (Harlequin Superromance, No 584)",Tara Taylor Quinn,1994,Harlequin
"Accidental Bridegroom (Jilted!, Man Of The Month) (Silhouette Desire, No 889)",Ann Major,1994,Silhouette
The Warslayer,Rosemary Edghill,2002,Baen
SHINY WATER,Anna Salter,1998,Pocket Star
Big Girl,Thom Metzger,1989,New Amer Library (Mm)
Dirty Dreams,Lynda Obst,1991,New Amer Library
California Angel,Nancy Taylor Rosenberg,1995,Penguin USA
"Naughty, Naughty",Susan Johnson,1999,St. Martin's Press
The Velveteen Rabbit,MARGERY WILLIAMS,1958,Doubleday Books for Young Readers
Love and Money,Ruth Harris,1989,Fawcett Books
Help! I'm Trapped in a Professional Wrestler's Body (Help I'm Trapped),Todd Strasser,2000,Scholastic
Andrew Lost #1: On the Dog (Stepping Stone Book),J.C. GREENBURG,2002,Random House Books for Young Readers
A Summer Life,GARY SOTO,1991,Laure Leaf
Whatever (Sweet Valley Jr. High No. 17),Francine Pascal,2000,Sweet Valley
The Wilton Way of Cake Decorating: Vol. 2,Eugene Sullivan,1977,"Wilton Enterprises, Book Division"
Sharks (Discovery Program),Jonathan Sheikh-Miller,2001,E.D.C. Publishing
Robin's Diary,Judith Pinsker,1995,ABC Daytime Press
How to Be Like Mike : Life Lessons about Basketball's Best,Pat Williams,2001,Health Communications
For the Glory: College Football Dreams and Realities Inside Paterno's Program,Ken Denlinger,1994,St Martins Pr
"I AIN'T AN ATHLETE, LADY...",John Kruk,1994,Simon &amp; Schuster
I Feel Great and You Will Too!: An Inspiring Journey of Success With Practical Tips on How to Score Big in Life,Pat Croce,2000,Running Press Book Publishers
"The TV Guide TV Book: 40 Years of the All-Time Greatest : Television Facts, Fads, Hits, and History",Ed Weiner,1992,Harpercollins
SEE YOU LATER,Christopher Pike,1990,Simon Pulse
Find the Littlest Angels As They Celebrate Christmas (Look &amp; Find Books),Dave Garbot,1993,Publications International
Jemima Puddle-Duck (Little rainbow books),Sarah Toast,1995,"Publications International, Ltd"
Thinking Big,Disney Enterprises Inc,1998,Advance Publishers LLC
The Bunny Hop (Jellybean Books),Sarah Albee,2000,Random House Children's Books
The Very Best Easter Bunny (Little Golden Storybook),Ann Braybrooks,2000,Random House Childrens Books
Elmo's 12 Days of Christmas (Big Bird's Favorites Board Books),SARAH ALBEE,2003,Random House Books for Young Readers
Margaret Wise Brown's Pussy Willow (Little Golden Books),Margaret Wise Brown,1997,Golden Books
Noel,Romeo Muller,1993,Western Pub. Co
Little Critter's the Night Before Christmas: The Night Before Christmas (Mercer Mayer Storybooks),Mercer Mayer,1995,Random House Children's Books
A Witchs Trick,Landoll,1999,Landoll
Poky and Friends Big River Rescue (Little Golden Storybook),Naomi Kleinberg,1999,Golden Books Publishing Company
"Sip, Slurp, Soup, Soup - Caldo, Caldo, Caldo",Diane Gonzales Bertrand,1997,Pinata Books
Anybody can play: Featuring Jim Henson's Sesame Street Muppets,Jocelyn Stevenson,1980,Western Pub. Co. in conjunction with Children's Television Workshop
The Big Red Reader: The Egg Hunt,Suzanne Weyn,2002,Scholastic
The Velveteen Rabbit (Jorgensen),Margery Williams,1985,Alfred A. Knopf
Digging Up Dinosaurs,Aliki,1982,Crowell
The Velveteen Rabbit,Margery Williams,1990,Scholastic
Gorilla Talk (Congo),Michael Novak,1995,Random House Children's Books
Alexander and the Wind-Up Mouse,Leo Lionni,1987,Dragonfly Books
Walt Disney's Bambi: Snowy Day (Walt Disney's Bambi),Betty Birney,1998,Golden Books
"Pooh's Halloween Parade (Winnie the Pooh First Readers, 15)",Isabel Gaines,1999,Disney Press
Special Collector's Edition of Big Idea's Jonah--A VeggieTales Movie,Cindy Kenney,2002,Inspirio
Chimp and Zee,Laurence Anholt,2001,Phyllis Fogelman Books
This Is My House First Little Learners,Richard Scarry,0,Modern Publishing
Spanish Picture Dictionary,Angela Wilkes,1991,NTC/Contemporary Publishing Company
Rolie Polie Olie (Rolie Polie Olie),William Joyce,1999,Laura Geringer
Snowie Rolie (Rolie Polie Olie),William Joyce,2000,Laura Geringer
Richard Scarry's Mother Goose Rhymes and Nursery Tales,Richard Scarry,1998,Golden Books
When Mama Comes Home Tonight,Eileen Spinelli,1998,Simon &amp; Schuster Children's Publishing
Nick and Noel,Kroonm Thompson,1993,Random House Children's Books
The Alphabet Book,P.D. EASTMAN,1974,Random House Books for Young Readers
The Snow Family,Daniel Kirk,2000,Hyperion Books for Children
If You Give a Moose a Muffin,Laura Joffe Numeroff,1991,Laura Geringer Book
The Nursery Rhymes of Winnie the Pooh : A Classic Disney Treasury (Classic Disney Treasury),Various,1998,Disney Press
If You Give a Pig a Pancake,Laura Numeroff,1998,Laura Geringer
Cinderella: The Runaway Wand (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Lady and the Tramp: A Trusty Old Pal,Disney Enterprises Inc,1997,Advance Publishers LLC
Sleeping Beauty: A Magic Plan (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Dumbo: Not So Fast! (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Bambi: A Noisy Neighbor (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Parents' Guide (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Beauty and the Beast: The Perfect Party (Disney's Storytime Treasure Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Hercules: Lightning Strikes (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Pinocchio: Nose for Trouble,Disney Enterprises Inc,1997,Advance Publishers LLC
"The Little Mermaid: Treasures of Old (Disney's \Storytime Treasures\"" Library, Volume 7)""",Inc. Staff Disney Enterprises,1997,Advance Publishers LLC
Snow White: What a Surprise! (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Alice in Wonderland: It's about Time! (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
Peter Pan: Friends Ahoy! (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
"The Jungle Book: A Friend for Life (Disney's \Storytime Treasures\"" Library, Volume 6)""",Inc. Staff Disney Enterprises,1997,Advance Publishers LLC
The Hunchback of Notre Dame: The Hidden Hero (Disney's Storytime Treasures Library),Disney Enterprises Inc,1997,Advance Publishers LLC
101 Dalmatians: Proud to Be a Pup,Disney Enterprises Inc,1997,Advance Publishers LLC
Kitty's Special Job (Little Animal Adventures),Patricia Jensen,1992,Readers Digest Assn
"Go to sleep, little groundhog (Little animal adventures)",Patricia Jensen,1992,Reader's Digest Kids
A Home for Little Turtle (Little Animal Adventures),Ariane Chottin,1992,Simon &amp; Schuster Merchandise &amp;
Little Bear's New Friend (Little Animal Adventures),Muriel Pepin,1992,Simon &amp; Schuster Merchandise &amp;
Little Goat's New Horns (Little Animal Adventures),Patricia Jensen,1993,Simon &amp; Schuster Merchandise &amp;
"Be patient, Little Chick (Little animal adventures)",Patricia Jensen,1993,Reader's Digest Kids
Little Kangaroo Finds His Way (Little Animal Adventures),Ariane Chottin,1993,Simon &amp; Schuster Merchandise &amp;
Little Donkey Learns to Help (Little Animal Adventures),Patricia Jensen,1993,Random House Childrens Pub
The Hungry Duckling (Little Animal Adventures),Claude Clement,1992,Simon &amp; Schuster Merchandise &amp;
Little Mouse's rescue (Little animal adventures),Patricia Jensen,1993,Reader's Digest Kids
Little Squirrel's Special Nest (Little Animal Adventures),Bernadette Jensen,1993,Random House Childrens Pub
Brave little fox (Little animal adventures),Patricia Jensen,1993,Reader's Digest Kids
"Mammals (Time-Life Student Library , Vol 2)",Time-Life,1997,Time-Life Books
The Crippled Lamb 5th Anniversary Edition,Max Lucado,1999,Thomas Nelson
Jacob's Gift,Max Lucado,1998,Thomas Nelson
Emeril's TV Dinners: Kickin' It Up a Notch with Recipes from Emeril Live and Essence of Emeril,Emeril Lagasse,1998,William Morrow
How to Draw Animals,Jack Hamm,1982,Perigee Books
Seasons of the Seal,Fred Bruemmer,1988,Northword Press
Animal Art,Lee J. Ames,1986,Bantam Doubleday Dell
"Christmas All Through the House: Crafts, Decorating, Food (Better Homes and Gardens(R))",Better Homes and Gardens,2000,Better Homes and Gardens Books
"Second Chance (Cedar River Daydreams, Book 14)",Judy Baer,1991,Baker Book House Co
"No Turning Back (Cedar River Daydreams, Book 13)",Judy Baer,1991,Bethany House Publishers
Making Children Mind: Without Losing Yours,Kevin Leman,1987,Dell Publishing Company
Great Big Cookie Book,Hilaire Walden,1999,Hermes 1
"The Expectant Father: Facts, Tips and Advice for Dads-To-Be",Armin Brott,1999,Abbeville Press
Cooking Light,Landolls Inc Ed,1995,Landoll Inc
The Life and Adventures of Santa Claus,L. Frank Baum,1976,Dover Publications
A Pictorial History of Horror Movies,Denis Gifford,1977,Book Sales
The Chosen Ones: A Novel,Sara Hylton,1992,St Martins Pr
Story of Laura Ingalls Wilder : Pioneer Girl,MEGAN STINE,1992,Yearling
"Sunny, Diary 3 (California Diaries, 12)",Ann M. Martin,1999,Scholastic
Hero of Lesser Causes,Julie Johnston,1994,Penguin USA
The Boy Who Drank Too Much,SHEP GREENE,1980,Laure Leaf
The Trokeville Way,Russell Hoban,1997,Alfred A. Knopf
Seaward,Susan Cooper,1987,Simon Pulse
Summit (Palisades Presents Series),Karen Rispin,1999,Palisades
Blaue Stunde.,T. Jefferson Parker,2003,Ullstein Tb
Aufschneider.,Susanna Moore,1999,Rowohlt Tb.
GestÃ?Â¤ndnisse. Confessions of a Dangerous Mind. Das Buch zum Film.,Chuck Barris,2003,Heyne
Der Schrei der Schwalbe. Roman.,Jack Curtis,2003,Goldmann
Unter die Haut.,Carl Hiaasen,2001,Goldmann
Fit mit Pu. Des starken BÃ?Â¤ren natÃ?Â¼rlicher Weg zu SchÃ?Â¶nheit und Kraft.,Ethan Mordden,1999,Dtv
Die letzte Strophe.,Marianne MacDonald,2003,"List, Verlag GmbH &amp; Co. KG Paul"
Wer viel fragt.,Michael Lewin,2001,Diogenes Verlag
Three Short Novels,Wendell Berry,2003,Counterpoint Press
"Horace, The Odes : New Translations by Contemporary Poets (Facing Pages)",Horace,2002,Princeton University Press
Aftermath: Violence and the Remaking of a Self.,Susan J. Brison,2001,Princeton University Press
Allen Tate,Thomas Underwood,2000,Princeton University Press
Hazmat,J.D. MCCLATCHY,2002,Knopf
Cold Zero: Inside the FBI Hostage Rescue Team,Christopher Whitcomb,2001,"Little, Brown"
CODE NAME: COPPERHEAD,Joe R. Garner,1994,Simon &amp; Schuster
Seal Force Alpha : From Vietnam's Phoenix Program to Central America's Drug Wars (Rogue Warriors Series),Richard Marcinko,1998,Atria
Immediate Action,Andy McNab,1996,Dell
Inside the Lrrps: Rangers in Vietnam,Michael Lanning,1988,Ballantine Books
No Heroes: A Memoir of Coming Home,Danny O Coulson,1999,Atria
Junie B. Jones and That Meanie Jim's Birthday (Volume 6),Barbara Park,1999,"Scholastic, Inc."
Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,1998,"Scholastic, Inc."
Goldilocks and the three bears (Little classics),Sarah Toast,1997,Publications International
FINDING YOUR ANSWERS WITHIN,Dick Sutphen,1989,Pocket
Life Between Life,Joe Fisher,1988,Warner Books
Manhattan,Neal Travis,1980,Berkley Publishing Group
Mrs. Miniver,Jan Struther,1985,Harpercollins
The Interpreter,Robert Moss,1998,Tor Books (Mm)
"Alles Leben ist ProblemlÃ?Â¶sen. Ã?Â?ber Erkenntnis, Geschichte und Politik.",Karl R. Popper,1996,Piper
Richard Scarry's a Story a Day: 365 Stories and Rhymes,Kathryn Jackson,1998,Golden Books
GefÃ?Â¤hrliche Geliebte.,Haruki Murakami,2000,DUMONT Literatur und Kunst Verlag
Das zweite KÃ?Â¶nigreich.,Rebecca Gable,2002,LÃ?Â¼bbe
Der KnochenjÃ?Â¤ger. ( Die Assistentin).,Jeffery Deaver,2000,Goldmann
Vintage Murder,Ngaio Marsh,0,Harpercollins Publisher
The Phantom Major,Virginia Cowles,1989,HarperCollins Publishers
Forests of the Heart (Newford),Charles de Lint,2000,Tor Books
Death in Paradise: A Thea Kozak Mystery,Kate Flora,2000,Tor Books
"The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Ar (Icon Editions)",Robert Henri,1984,Westview Press
ART THE ARTS &amp; THE GREAT IDEAS,Mortimer J. Adler,1994,Scribner
Connections: The Geometric Bridge Between Art and Science,Jay Kappraff,1990,McGraw-Hill
The Art of 3 Dimensional Design: How to Create Space Figures,Louis Wolchonok,1969,Dover Publications
East Coast Victorians: Castles &amp; Cottages,"Kenneth, Naversen",1990,Beautiful Amer Pub Co
To Walk with Lions: 7 Spiritual Principles I Learned from Living with Lions,Gareth Patterson,2001,Ulysses Press
LA Toya: Growing Up in the Jackson Family,LA Toya Jackson,1991,Penguin USA
Femininity,Susan Brownmiller,1984,Simon &amp; Schuster
The Journals of Sylvia Plath,Frances Monson McCullough,1983,Ballantine Books
The Sound of Trumpets,John Mortimer,1999,Penguin USA
Great Souls: Six Who Changed The Century,David Aikman,1998,W Publishing Group
Going to Prison,Jimmy Tayoun,2000,Biddle Pub. Co.
So the Wind Won't Blow It All Away,Richard Brautigan,1984,Bantam Dell Pub Group
Choose to Be Happy: The Craft and the Art of Living Beyond Anxiety,Swami Chetanananda,2001,Rudra
Saving Agnes,Rachel Cusk,2000,Picador USA
Madame Bovary (New York Public Library Collector's Editions Series),Gustave Flaubert,1997,Doubleday Books
Die Pforte des Wassers.,Rosetta Loy,2003,Piper
"Calwer Taschenbibliothek, Bd.13, Glauben ist menschlich",Peter Kliemann,2001,Calwer
Die Heirat und andere KomÃ?Â¶dien.,Peter Ustinov,2002,"Fischer (Tb.), Frankfurt"
Star Challenge: Planets Peril,Christopher Black,1995,Hodder &amp; Stoughton Childrens Division
Testosterone Inc.: Tales of CEOs Gone Wild,Christopher M.  Byron,2004,Wiley
101 Questions Your Cat Would Ask Its Vet (If Your Cat Could Talk),Bruce Fogle,1995,Book Sales
Finders Keepers: The Story of a Man Who Found $1 Million,Mark Bowden,2002,Atlantic Monthly Press
"The Greater Philadelphia Jobbank, 2000",Steven Graber,1999,Adams Media Corporation
Hell Hath No Fury: Women's Letters from the End of the Affair,Anna Holmes,2002,Carroll &amp; Graf Publishers
Lyle Finds His Mother,Bernard Waber,1974,Houghton Mifflin/Walter Lorraine Books
Why Things Bite Back: Technology and the Revenge of Unintended Consequences,Edward Tenner,1997,Vintage Books USA
The EARTH DWELLERS: Adventures in the Land of Ants,Erich Hoyt,1997,Simon &amp; Schuster
INTENT TO HARM : INTENT TO HARM,Stan Washburn,1995,Pocket
The Fireman (Stephen Leather Thrillers),Stephen Leather,1996,Coronet Books &amp; Publications
Serious Crimes (Willows and Parker Mysteries),L. Gough,2002,McClelland &amp; Stewart
Hot Shots (Willows and Parker Mysteries),LAURENCE GOUGH,2002,McClelland &amp; Stewart
A Queer Kind of Death,George Baxt,1979,St Martins Pr
Poverty Bay,Earl W. Emerson,1993,Harper Mass Market Paperbacks (Mm)
The Devil's Redhead,DAVID CORBETT,2003,Ballantine Books
"Crazy Love (Wwl Mystery, 477)",Steve Brewer,2003,Worldwide Library
Seeds of Treason,Ted Allbeury,0,Trafalgar Square
The BOOK OF NUMBERS,David Thoreau,1990,Pocket
Uncle John's Bathroom Reader Plunges into Great Lives,Bathroom Readers Hysterical Society,2003,Portable Press
Wolf Time,Joe Gores,1990,Zebra Books
"That's Disgusting : An Adult Guide to What's Gross, Tasteless, Rude, Crude, and Lewd",Greta Garbage,1999,Ten Speed Press
The Marlow Chronicles,Lawrence Sanders,1983,Berkley Publishing Group
Grossed-Out Surgeon Vomits Inside Patient!: An Insider's Look at the Supermarket Tabloids,Jim Hogshire,1997,Pub Group West
Principal Investigation (Scientific Mysteries),B. B. Jordan,1997,Berkley Publishing Group
This Perfect Day,Ira Levin,1991,Bantam Books
"Mirror, Mirror (Point)",D.E. Athkins,1992,Scholastic
Monsieur Pamplemousse Stands Firm,Michael Bond,1994,Fawcett Books
From Survival to Recovery: Growing Up in an Alcoholic Home,Al-Anon Family Group Head Inc,1994,"Al-Anon Family Group Headquarters, Inc."
WAY OF A PILGRIM-POCKET (Shambhala Pocket Classics),OLGA SAVIN,1991,Shambhala
"Tinker, Tailor, Soldier, Spy",John Le Carre,1974,Random House Inc
JFK: The Book of the Film (Applause Screenplay Series),Oliver Stone,1992,Applause Books
Fall from Grace,Larry Collins,1985,Smithmark Pub
The Great Novels of the Bronte Sisters (The Golden Library),Charlotte Bronte,1993,Pub Group West
Neither Wolf Nor Dog: On Forgotten Roads With an Indian Elder,Kent Nerburn,1994,New World Library
Sweet Sixteen,Michael Molloy,1993,Mandarin
Cry Once Alone,E. V. Thompson,1986,Pan Macmillan
Die Jury,John Grisham,1998,Wilhelm Heyne Verlag GmbH &amp; Co KG
Zack's Alligator (An I Can Read Book),Shirley Mozelle,1989,Harper &amp; Row
Total Baseball Trivia,Total Baseball,2001,Total Sports
Alfred Hitchcock and the Three Investigators in the Mystery of the Screaming Clock,Robert Arthur,1968,Random House Children's Books
Minotaur country: A novel of suspense,Helen McCloy,1975,"Dodd, Mead"
Petersburg,Emily Hanlon,1989,Ivy Books
Home Again,Annie Smith,2002,Kensington Publishing Corporation
The Fontainebleau Fan (Zebra Regency Romance),Victoria Hinshaw,2002,Zebra Books
Quivers,Robin Quivers,1996,Harper Mass Market Paperbacks (Mm)
"A woman's book of choices: Abortion, menstrual extraction, RU-486",Rebecca Chalker,1992,Four Walls Eight Windows
Lunar Almanac,Rosemary E Guiley,0,London Bridge
"Codes, Puzzles, and Conspiracy",Dennis Shasha,1992,W.H. Freeman &amp; Company
Intoxication: An Anthology of Stimulant-Based Writing,Toni Davidson,1998,Serpent's Tail
Les Liaisons Dangereuses,Pierre Choderlos de Laclos,1961,Penguin Books Ltd
Exhibitionism,Toby Litt,2002,Hamish Hamilton
Problem Puss,Grace McHattie,1987,Arrow (A Division of Random House Group)
Wake Up,Tim Pears,2002,Bloomsbury Publishing Plc
Material de los sueÃ±os (Obras completas / JosÃ© Revueltas),JosÃ© Revueltas,1979,Ediciones Era
Estado de gracia (ColecciÃ³n FÃ¡bula),Gregorio Ortega,1992,Editorial Planeta Mexicana
El Hacedor,Jorge Luis Borges,1960,Alianza
Confesion de Un Asesino,Joseph Roth,1998,Anagrama
Flor Nueva de Romances Viejos (ColecciÃ³n austral ; no. 100),Ramon Menendez Pidal,1998,"Espasa Calpe Mexicana, S.A."
Le Rouge Et Le Noir (Textes En Francais Facile),Stendhal,1989,NTC/Contemporary Publishing Co.
Enigmas Histricos Al Discubierto,Cesar Vidal,2003,Planeta Pub Corp
LA Guerra Del Fin Del Mundo,Mario Vargas Llosa,2003,Santillana
"Pendulo de Foucault, El",Umberto Eco,2001,El Ave Fenix
Trotzdem: Mein Leben fÃ¼r die Zukunft,Robert Jungk,1993,C. Hanser
Die Gagarin-Story: Die Wahrheit Ã¼ber den Flug des ersten Kosmonauten der Welt,Gerhard Kowalski,1999,Schwarzkopf &amp; Schwarzkopf
The Rice Room: Growing Up Chinese-American-From Number Two Son to Rock'N'Roll,Ben Fong-Torres,1995,Plume Books
"The Final Prophecy (Star Wars: The New Jedi Order, Book 18)",Greg Keyes,2003,Del Rey
Star Wars: Children of the Jedi (Star wars),Barbara Hambly,1995,Bantam
The World of Mike Royko,Doug Moe,1999,University of Wisconsin Press
Meet the Press: 50-Years of History in the Making,Rick Ball,1997,McGraw-Hill Trade
Off Camera: Private Thoughts Made Public,Ted Koppel,2000,Alfred A. Knopf
CHARLES KURALT'S AMERICAN MOMENTS (American Moment Series),Charles Kuralt,1998,Simon &amp; Schuster Audio
Trust Me on This (G.K. Hall Large Print Book Series),Donald E. Westlake,1989,G. K. Hall &amp; Company
The Nanny,Melissa Nathan,2003,Avon Trade
Provence,Lawrence Durrell,1994,Arcade Publishing
We the Living,Ayn Rand,1960,Signet Book
Anthem,Ayn Rand,1961,Signet Book
The Wisdom of Stones,Greg Matthews,1994,HarperCollins Publishers
Ein Spiel der Natur. Roman.,Nadine Gordimer,1991,"Fischer (Tb.), Frankfurt"
Het Theater De Brief En De Waarheid,Harry Mulisch,2000,CPNB
Herabsetzende Ã?usserungen: ErzÃ¤hlung,Thomas Ripke,1980,Beltz und Gelberg
Natural Disasters (Totally Amazing),Clare Oliver,1999,Golden Books
Spiders,Christine Morley,1998,Golden Books
Night Animals (Totally Amazing),Iqbal Hussain,1999,Golden Books
Putt-Putt: The Great Pet Chase,Tricia Legault,2000,Lyrick Publishing
Pricilla (Barely There),Stephen Cosgrove,2001,Penton Kids
The Inside-Outside Book of New York City,Roxie Munro,2001,SeaStar Books
Adventure Stories That Will Thrill You,Various Artists,2001,Seastar Books
Laughter Therapy: A Dose of Humor for the Christian Woman's Heart (Inspirational Library),Tina Krause,2002,Barbour Publishing
El arte de la guerra 2,Sun Biu,2001,"Editorial Edaf, S.A."
Serpiente,Clive Cussler,2001,Debols!llo
The Meek,Scott Mackay,2001,New American Library
Metropolitan Life                   **,Fran Lebowitz,1988,Fawcett Books
Aunt Emma's Cope Book,Erma Bombeck,1980,Fawcett Books
75 Short Masterpieces,Roger B. Goodman,1996,Bantam Books
Hunchback of Notre Dame,Victor Hugo,1982,Signet Book
Just So Stories for Little Children (World's Classics),Rudyard Kipling,1995,Oxford University Press
"Just A Little Sex... (Blaze, 9)",Miranda Lee,2001,Harlequin
Tales from the Spaceport Bar,George H. Scithers,1987,Avon Books
Eine Blume in der WÃ?Â¼ste.,Walter Satterthwait,2001,Dtv
Drachen haben nichts zu lachen. ( Ab 8 J.). Mit einer Drachen- und Ritterkunde in Bildern.,Franz Sales Sklenitzka,1997,Arena
Der satanarchÃ?Â¤olÃ?Â¼genialkohÃ?Â¶llische Wunschpunsch. ( Ab 10 J.).,Michael Ende,2003,"Bertelsmann, MÃ?Â¼nchen"
"Lexis, Neufassung, Tl.2, Ã?Â?bersetzungshilfen, Begleitgrammatik und Lernvokabular",Willibald Heilmann,1988,Diesterweg
"Lexis, Neufassung, Tl.1, Texte und Ã?Â?bungen",Willibald Heilmann,1988,Diesterweg
"Abiturwissen, Das Dritte Reich",Walter GÃ?Â¶bel,2001,Ernst Klett Verlag
Arbiturwissen Deutschland,Gobel,1998,Ernst Klett Verlag GmbH
Gutenachtgeschichte: Ulrich Plenzdorf ; illustriert von Rolf KÃ¶hler (Suhrkamp Taschenbuch),Ulrich Plenzdorf,1983,Suhrkamp
Die Einsamkeit des LangstreckenlÃ?Â¤ufers. ErzÃ?Â¤hlung.,Alan Sillitoe,1990,Diogenes Verlag
Der Untergang der Stadt Passau: Science Fiction-Roman (Heyne BÃ¼cher ; Nr. 3461 : Science fiction),Carl Amery,1975,Heyne
The Worst Years of Our Lives: Irreverent Notes from a Decade of Greed,Barbara Ehrenreich,1990,Random House Inc
Forgiveness and Other Acts of Love,Stephanie Dowrick,1998,W. W. Norton &amp; Company
Failsafe Entrepreneuring,Bill D. Freiberg,2002,Xlibris Corporation
His Last Bow: Some Reminiscences of Sherlock Holmes (Penguin Popular Classics),Arthur Conan Doyle,1997,Penguin Books Ltd
"Die Zeit drÃ¤ngt: Eine Weltversammlung der Christen fÃ¼r Gerechtigkeit, Frieden und die Bewahrung der SchÃ¶pfung",Carl Friedrich WeizsÃ¤cker,1988,Hanser
Brennende Lichter.,Bella Chagall,1969,Rowohlt Tb.
Die Stadt der Wunder. Roman.,Eduardo Mendoza,1999,Suhrkamp
Jede Menge Ohrenzeugen. Roman.,Katarina Mazetti,2003,Piper
Das Buch der Antworten.,Carol Bolt,2000,Scherz
Als das WÃ¼nschen noch geholfen hat (Suhrkamp-Taschenbuch ; 208),Peter Handke,1974,Suhrkamp
Ein verdammt gutes GefÃ?Â¼hl.,Sara Davidson,2002,"Fischer (Tb.), Frankfurt"
Dorf an der Grenze,Aline Valangin,1982,Limmat Verlag Genossenschaft
Connoisseur's Science Fiction,T. Boardman,1976,Viking Press
"Diana-TaschenbÃ?Â¼cher, Nr.93, Die HimmelsstÃ?Â¼rmer",Bjarne Reuter,2000,Heyne
Jugendstil: Kunstformen zwischen Individualismus u. Massengesellschaft (DuMont Kunst-TaschenbÃ¼cher ; 25),Gabriele Fahr-Becker,1975,DuMont Schauberg
Shampoo Planet.,Douglas Coupland,1996,Goldmann
Die vielen Gesichter der Liebe: Einblick in d. weltweite Behinderten-Diakonie d. Christoffel-Blindenmission,Rolf Kunitsch,1979,Radius-Verlag
Das groÃ?Â?e Anstarrmeisterschafts- Finale.,Paul Hatcher,2000,Goldmann
